1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;;;;;;;;;;;;;;;
-1.889388579;-2.144255104;-2.584541027;-3.310026452;-2.522181493;-1.890257459;-2.776830879;-2.941287166;-1.949219075;-3.128230992;-1.80690084;-1.477582804;-2.733794889;-2.334078166;-0.976188643;-2.573123194;-1.371843343;-2.746752029;-1.827447478;-1.748472623;-2.241770041;;;;;;;;;;;;;;;
-0.721220933;-0.886624568;-0.99171423;-1.325603312;-0.786236365;-0.980882151;-0.888466756;-0.999563486;-0.865378136;-0.424606038;-0.210546546;-0.502056356;-0.952154885;-1.07696199;-0.725261669;-0.347505119;-0.091859316;-0.42182731;-0.279220264;-0.27123144;-0.275133583;;;;;;;;;;;;;;;
-0.199177775;-0.62230027;-0.221171452;-0.522178316;-0.54629615;-0.287918683;-0.474087422;-0.15383259;-0.193666598;-0.091073449;-0.006430023;-0.277934866;-0.52736916;-0.38066219;-0.182968553;-0.13277016;-0.073050964;-0.021299166;-0.022541967;-0.076080653;-0.084475125;;;;;;;;;;;;;;;
-4.128925931;-3.134632697;-3.716092375;-4.227872647;-2.891197346;-2.689598915;-3.078467699;-3.883133238;-3.08387816;-3.284081438;-3.062581763;-1.975439131;-3.728967056;-3.271478327;-1.34331283;-2.865509175;-1.264600474;-2.564321175;-2.248113378;-2.028148878;-2.809210177;;;;;;;;;;;;;;;
-1.0819934;-1.914401792;-1.172934355;-2.468195088;-1.633003575;-1.227688775;-1.651839052;-1.816068409;-1.279446915;-1.526605835;-0.411764924;-1.412752806;-1.632990248;-2.004625691;-1.475014281;-0.741900273;-0.743450357;-0.759458787;-1.194070121;-0.733191788;-0.881505158;;;;;;;;;;;;;;;
-0.698682889;-1.308416435;-1.106084549;-1.516319679;-1.379137988;-1.241706668;-1.425310083;-1.418335611;-0.865624614;-1.294720896;-0.198942326;-0.933323638;-1.384083178;-1.103994814;-0.773916412;-0.470080921;-0.348629831;-0.557981355;-0.510189956;-0.343746213;-0.430664978;;;;;;;;;;;;;;;
-0.106484747;-0.368093381;-0.179372477;-0.559135891;-0.470955239;-0.239086058;-0.518660648;-0.206003032;-0.152439677;-0.144088119;-0.037684353;-0.152857305;-0.227605599;-0.166579765;-0.20935195;-0.110920195;-0.17418137;-0.06162648;-0.106479078;-0.125691044;-0.124149242;;;;;;;;;;;;;;;
-0.8567103;-1.075849301;-0.820276616;-1.827391773;-1.172454418;-1.115460391;-1.072501311;-1.099589989;-0.905439919;-0.530907936;-0.178006673;-0.433303578;-1.362671641;-0.878828354;-0.484371821;-1.033378503;-0.152619965;-0.531288975;-0.275144086;-0.330763765;-0.762051235;;;;;;;;;;;;;;;
-0.22917101;-0.329496057;-0.324197644;-0.330444849;-0.408229692;-0.313708368;-0.310678545;-0.255830391;-0.070948793;-0.058682248;-0.010741169;-0.25127923;-0.190014783;-0.172074672;-0.379462741;-0.058613563;-0.104393735;-0.083348211;-0.097906978;-0.10198262;-0.052967071;;;;;;;;;;;;;;;
-3.422087989;-2.374254439;-3.271265195;-3.960246017;-3.178945447;-2.155664368;-2.846812012;-3.460544673;-2.017545032;-2.645185898;-4.070297768;-1.463642564;-2.973779749;-2.58324542;-0.998054064;-3.252955634;-1.745692671;-2.332320902;-2.858016315;-2.423257567;-3.251070633;;;;;;;;;;;;;;;
-0.093574349;-0.326196857;-0.141013255;-0.335932037;-0.277403884;-0.087231943;-0.334329663;-1.54E-01;-0.140582022;-0.118560955;-0.010642132;-0.198152021;-0.21677619;-0.19768592;-0.179334978;-0.058455179;-0.053920053;-0.066142068;-0.07340842;-0.076355213;-0.088128346;;;;;;;;;;;;;;;
-0.118197793;-0.269586196;-0.155866986;-0.421516293;-0.44857606;-0.210481464;-0.314859161;-0.135923853;-0.220949975;-0.133155068;-0.02940113;-0.09235812;-0.294640747;-0.338782713;-0.273305212;-0.069936774;-0.07513321;-0.123175405;-0.106167005;-0.118550892;-0.117057935;;;;;;;;;;;;;;;
-0.369310746;-0.69147368;-0.514397552;-0.837776786;-0.235695836;-0.441878082;-0.430608464;-0.316748892;-0.613733288;-0.122014939;-0.075629944;-0.286190316;-0.418178962;-0.512590864;-0.359242456;-0.248668486;-0.052125316;-0.166328628;-0.11182982;-0.161748027;-0.187116119;;;;;;;;;;;;;;;
-0.35820103;-0.783600799;-0.699909294;-1.198026506;-0.952092144;-0.723141165;-0.819140674;-0.838633261;-0.521195547;-0.546357136;-0.176808372;-0.376476131;-0.713731834;-0.690006607;-0.2940623;-0.197197651;-0.255975444;-0.220448978;-0.147796675;-0.344934556;-0.462257171;;;;;;;;;;;;;;;
-4.356217719;-2.841285029;-4.124674035;-4.448480062;-3.304077725;-3.151355469;-3.499325996;-4.403945826;-3.169203685;-3.87406036;-3.704270568;-2.082355297;-4.167436831;-3.876430721;-1.735512789;-3.355915283;-1.634279301;-3.17839389;-2.79092365;-2.226446322;-2.880490095;;;;;;;;;;;;;;;
-0.648189312;-0.730053872;-0.428219499;-0.786905375;-0.572639065;-0.36604358;-0.556336823;-0.771244053;-0.593784622;-0.390792324;-0.077126601;-0.35562082;-0.461725227;-0.731085482;-0.423244514;-0.15110779;-0.122460237;-0.136828458;-0.170595768;-0.209890488;-0.288353028;;;;;;;;;;;;;;;
-1.161647003;-1.267278038;-1.803344649;-2.121835967;-1.635216948;-1.19578365;-1.402237682;-1.714157779;-0.620727399;-0.909647335;-0.69970942;-0.862261142;-1.362637116;-1.088395551;-0.552042235;-0.913137812;-0.542210842;-0.499294558;-0.685726294;-0.93230856;-0.848461503;;;;;;;;;;;;;;;
