interval;a5_1@1;a5_1@2;a5_1@3;a5_1@4;a5_1@5;a5_1@6;a5_1@7;a5_1@8;a5_1@9;a5_1@10;a51_1@1;a51_1@2;a51_1@3;a51_1@4;a51_1@5;a51_1@6;a51_1@7;a51_1@8;a51_1@9;a6from_1;a6to_1;a7_1@1;a7_1@2;a7_1@3;a7_1@4;a7_1@5;a7_1@6;a7_1@8;a7_1@9;a7_1@10;a7_1@11;a7_1@12;a7_1@13;a7_1@14;a7_1@15;a7_1@16;a7_1@17;a7_1@18;a7_1@19;a7_1@20;a7_1@21;a7_1@22;a7_1@23;a7_1@24;a7_1@25;a7_1@7;a7_1@98;a8_1;trip_duration;transport;InterviewID
Evening time;Bus;0;0;Bus;0;Bus;0;0;0;0;By myself;0;0;0;0;0;0;0;0;Workplace;Home;0;0;0;0;0;There was a need to hurry;0;0;0;There was a need to hurry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;There was a need to hurry;0;Me;76-90 min; ;4065508
Evening time;Bus;0;0;Bus;0;Bus;0;0;0;0;By myself;0;0;0;0;0;0;0;0;Workplace;Home;0;0;0;0;0;There was a need to hurry;There was a need to hurry;0;0;There was a need to hurry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;There was a need to hurry;0;Me;76-90 min; ;4065508
Evening time;0;0;0;Bus;0;0;0;0;0;0;By myself;0;0;0;0;0;0;0;0;Friends/relatives;Home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;There was a need to hurry;0;Me;<=15 min;4;4065508
Day time;0;0;0;0;0;0;Bus;0;0;0;0;0;0;0;0;0;By myself;0;0;Home;Government institutions;0;0;There was a need to hurry;0;0;0;0;0;0;0;0;0;There was a need to hurry;0;0;0;0;0;0;0;0;0;0;0;0;0;Parents;16-30 min;7;4065518
Morning time;0;0;0;Bus;0;0;0;0;0;0;By myself;0;0;0;0;0;0;0;0;Home;Workplace;0;0;0;0;0;0;There was a need to hurry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Me;31-45 min;4;4065528
Evening time;0;0;0;Bus;0;0;0;0;0;0;By myself;0;0;0;0;0;0;0;0;Workplace;Home;0;0;0;0;There was a need to hurry;0;There was a need to hurry;0;0;There was a need to hurry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Me;31-45 min;4;4065528
Morning time;0;0;0;Bus;0;0;0;0;0;0;By myself;0;0;0;0;0;0;0;0;Home;Workplace;0;0;0;0;There was a need to hurry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Me;16-30 min;4;4065539
Evening time;0;0;0;Bus;0;0;0;0;0;0;By myself;0;0;0;0;0;0;0;0;Workplace;Home;0;0;0;0;There was a need to hurry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Me;16-30 min;4;4065539
Morning time;0;0;0;Bus;0;0;Bus;0;0;0;0;0;0;0;0;0;0;0;By myself;Home;Workplace;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;There was a need to hurry;0;Me;31-45 min; ;4065544
Morning time;0;0;0;Bus;0;0;Bus;0;0;0;By myself;0;0;0;0;0;0;0;0;Home;Workplace;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;There was a need to hurry;0;Me;31-45 min; ;4065544
Evening time;0;0;0;Bus;0;0;Bus;0;0;0;By myself;0;0;0;0;0;0;0;0;Workplace;Home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;There was a need to hurry;0;Me;31-45 min; ;4065544
Evening time;0;0;0;Bus;0;0;Bus;0;0;0;0;0;0;0;0;0;0;0;By myself;Workplace;Home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;There was a need to hurry;0;Me;31-45 min; ;4065544
Morning time;0;0;Bus;0;0;Bus;0;0;0;0;0;By myself;By myself;0;0;0;0;0;0;Home;Kid's education;0;There was a need to hurry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;There was a need to hurry;0;Partner;46-60 min; ;4065546
Morning time;0;0;0;0;0;Bus;0;0;0;0;0;By myself;By myself;0;0;0;0;0;0;Kid's education;Home;0;There was a need to hurry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;There was a need to hurry;0;Partner;31-45 min;6;4065546
