CID	GERM.14
63	1
63	1
63	1
63	1
63	1
63	1
63	1
63	1
63	1
63	1
63	1
63	1
63	1
63	1
63	1
63	1
63	1
63	0
63	0
63	0
105	1
105	1
105	1
105	1
105	1
105	1
105	1
105	1
105	1
105	1
105	0
105	0
105	0
105	0
105	0
105	0
105	0
105	0
105	0
105	0
80	1
80	1
80	1
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
